Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_158.jpg;5.415438;1;0;1.695264;101.0028;86.93084;1.258793;41.48016;0.006795116
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_200.jpg;7.941967;1;0;1.725334;101.0531;86.97849;1.257479;41.93109;0.02372878
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_256.jpg;8.29329;1;0;1.769062;101.1291;87.05251;1.248461;42.75666;0.04318506
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_297.jpg;6.95838;1;0;1.798684;101.1801;87.10341;1.234344;43.33781;0.04660947
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_347.jpg;3.76599;1;0;1.830073;101.2323;87.15499;1.226776;43.75724;0.03018568
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_402.jpg;0.7173899;1;0;1.875954;101.313;87.23402;1.249272;44.07541;-0.002456197
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_457.jpg;0;1;0;1.919495;101.3961;87.31492;1.291674;44.11779;-0.002431632
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_512.jpg;0;1;0;1.949122;101.4525;87.36961;1.3064;44.11913;-0.001677194
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_561.jpg;0;1;0;1.994911;101.5387;87.45273;1.304449;44.1105;-0.001225963
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_610.jpg;0;1;0;2.025315;101.5972;87.50903;1.293721;44.10141;-0.001135595
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_666.jpg;0;1;0;2.070311;101.6868;87.59521;1.297321;44.08874;-0.001129459
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_707.jpg;0;1;0;2.099857;101.7477;87.65372;1.303779;44.08076;-0.001153
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_750.jpg;0;1;0;2.129364;101.8094;87.71302;1.308881;44.0748;-0.001199064
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_805.jpg;0;1;0;2.174099;101.9035;87.80338;1.307069;44.06215;-0.001164317
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_846.jpg;0;1;0;2.203434;101.9674;87.86469;1.310092;44.05412;-0.001194528
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_896.jpg;0;1;0;2.247333;102.0648;87.95815;1.315032;44.04428;-0.001225274
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_937.jpg;0;1;0;2.27682;102.1308;88.02145;1.317004;44.03548;-0.001216202
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_995.jpg;0;1;0;2.30595;102.2314;88.11796;1.32344;44.02397;-0.001255595
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_046.jpg;0;1;0;2.349035;102.2995;88.18321;1.322233;44.01697;-0.001235366
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_096.jpg;0;1;0;2.393276;102.4033;88.28264;1.324686;44.00479;-0.001265898
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_144.jpg;0;1;0;2.422152;102.4735;88.34994;1.328151;43.99717;-0.001275881
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_193.jpg;0;1;0;2.465367;102.5446;88.41804;1.332558;43.98972;-0.001290775
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_249.jpg;0;1;0;2.493616;102.6528;88.52158;1.332798;43.9789;-0.001289227
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_303.jpg;0;1;0;2.537382;102.7628;88.62688;1.33264;43.96642;-0.001296859
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_346.jpg;0;1;0;2.565935;102.8372;88.69808;1.333969;43.9585;-0.001304706
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_388.jpg;0;1;0;2.594422;102.9125;88.77007;1.336263;43.9506;-0.001304387
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_429.jpg;0;1;0;2.637043;102.9886;88.84284;1.33925;43.9427;-0.001316879
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_478.jpg;0;1;0;2.665388;103.1044;88.95345;1.344321;43.93089;-0.001346612
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_530.jpg;0;1;0;2.707806;103.1826;89.02816;1.347612;43.92307;-0.001361826
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_571.jpg;1.685598;1;0;2.735985;103.2615;89.10369;1.350531;43.93076;-0.001417605
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_617.jpg;5.594304;1;0;2.763563;103.38;89.2197;1.346668;44.26976;0.002144044
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_672.jpg;10.87243;1;0;2.790078;103.4575;89.29992;1.328755;44.88785;0.04157545
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_715.jpg;15;1;0;2.822226;103.5695;89.42466;1.224924;46.58256;0.1485311
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_769.jpg;15;0.9518035;0;2.846651;103.6416;89.51025;1.099604;47.97708;0.2272603
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_818.jpg;15;0.7922374;0;2.881194;103.7462;89.64307;0.8848545;50.11784;0.410841
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_874.jpg;15;0.64039;0;2.906396;103.8135;89.73399;0.7197348;51.54994;0.5631828
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_930.jpg;15;0.4774819;0;2.917515;103.9104;89.87312;0.420282;53.69667;0.8183308
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_25_971.jpg;15;0.3529201;0;2.924553;103.9718;89.96752;0.1860017;55.11277;1.009849
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_026.jpg;15;0.183763;0;2.926264;104.0607;90.11139;359.8502;57.13843;1.264146
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_070.jpg;15;0.0621343;0;2.922279;104.1198;90.20935;359.7414;58.39291;1.328156
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_123.jpg;15;0;0;2.906265;104.2059;90.35937;359.7044;60.28845;1.304445
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_172.jpg;15;0;0;2.890619;104.2609;90.46209;359.7802;61.53281;1.217937
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_228.jpg;15;0;0;2.880029;104.3376;90.62022;0.002913369;63.40823;1.079483
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_270.jpg;15;0;0;2.861486;104.3826;90.72617;0.07192912;64.79462;1.071371
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_319.jpg;15;0;0;2.849841;104.4444;90.88468;0.06261983;66.94924;1.094832
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_361.jpg;15;0;0;2.842824;104.4819;90.98997;359.9828;68.37354;1.121711
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_402.jpg;15;0;0;2.835392;104.5173;91.09618;359.9293;69.74302;1.146113
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_457.jpg;15;0;0;2.822506;104.5664;91.25759;359.9359;71.7328;1.15877
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_499.jpg;15;0;0;2.812948;104.5961;91.36619;359.9762;73.0657;1.162248
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_540.jpg;15;0;0;2.802467;104.623;91.47514;0.01756682;74.42051;1.168874
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_582.jpg;15;0;0;2.792773;104.6474;91.58331;0.002946386;75.78963;1.15233
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_626.jpg;15;0;0;2.784604;104.6692;91.69153;359.9793;77.14304;1.116203
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_679.jpg;15;0;0;2.77012;104.6953;91.85471;359.9622;79.18975;1.131753
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_721.jpg;15;0;0;2.761283;104.7094;91.96391;359.973;80.55289;1.159245
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_776.jpg;15;0;0;2.748986;104.726;92.12802;0.01636747;82.59595;1.198223
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_817.jpg;15;0;0;2.740969;104.7351;92.23621;359.9886;83.94722;1.161877
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_874.jpg;15;0;0;2.732105;104.7409;92.3447;359.9875;85.2946;1.13327
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_929.jpg;15;0;0;2.716973;104.7432;92.50711;359.9915;87.34093;1.162427
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_26_971.jpg;15;0;0;2.708249;104.742;92.61494;359.9939;88.69662;1.171776
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_014.jpg;15;0;0;2.701733;104.7388;92.72232;359.9903;90.0369;1.159815
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_055.jpg;15;0;0;2.687568;104.7286;92.88245;359.986;92.05045;1.1437
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_096.jpg;15;0;0;2.679824;104.7185;92.98864;359.9886;93.38821;1.141796
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_139.jpg;15;0;0;2.67103;104.7057;93.09441;0.003996024;94.73074;1.156933
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_180.jpg;15;0;0;2.662653;104.6912;93.19905;359.9866;96.06805;1.145243
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_222.jpg;15;0;0;2.654662;104.6738;93.30329;359.9905;97.39874;1.14206
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_264.jpg;15;0;0;2.645884;104.6538;93.40693;0.006896477;98.73526;1.156171
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_304.jpg;15;0;0;2.637282;104.632;93.50926;359.9886;100.0754;1.15056
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_347.jpg;15;0;0;2.629778;104.6077;93.61105;359.9909;101.4089;1.141898
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_388.jpg;15;0;0;2.620672;104.5806;93.71192;0.001260517;102.7484;1.157785
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_430.jpg;15;0;0;2.61269;104.5514;93.81195;0.01550979;104.0855;1.172471
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_471.jpg;15;0;0;2.604603;104.521;93.91056;359.9909;105.4023;1.151861
